127.0.0.1, 2015-05-07 20:37:17, GET, /, HTTP/1.1, 303, 0.002605
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.252014
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000591
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000581
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000587
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000393
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000811
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000543
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001212
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001361
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001632
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000413
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000419
127.0.0.1, 2015-05-07 20:37:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000526
127.0.0.1, 2015-05-07 20:37:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000542
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/default/index, HTTP/1.1, 200, 0.121715
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.000597
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000549
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.005253
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000587
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001225
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000974
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000615
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000822
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000489
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000684
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000719
127.0.0.1, 2015-05-07 20:37:46, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.000602
127.0.0.1, 2015-05-07 20:37:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2015-05-07 20:37:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2015-05-07 20:37:50, POST, /admin/default/index, HTTP/1.1, 303, 0.037448
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/default/site, HTTP/1.1, 200, 0.054378
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.001302
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000549
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001451
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000504
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.003640
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001409
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002313
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001570
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/folder_locked.png, HTTP/1.1, 200, 0.000612
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/folder.png, HTTP/1.1, 200, 0.000572
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.001815
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000468
127.0.0.1, 2015-05-07 20:37:51, POST, /admin/default/check_version, HTTP/1.1, 200, 1.135854
127.0.0.1, 2015-05-07 20:41:16, POST, /admin/default/site, HTTP/1.1, 303, 0.168078
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/default/design/ga_server, HTTP/1.1, 200, 0.191671
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000550
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.001256
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.002817
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.001274
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000394
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000365
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000745
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000519
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000493
